Gender,Height,Origin,Hand,Age,Aces,Double Faults,Breakpoints Won,Match Outcome
Men,185-189,ITA,R,20-,4-6,4-6,5-8,Winner
Men,185-189,CZE,R,20-24,4-6,<=0,9-12,Winner
Men,185-189,GBR,L,25-29,4-6,4-6,5-8,Winner
Men,190-194,CAN,R,20-24,4-6,1-3,1-4,Winner
Men,185-189,HUN,R,40+,>6,<=0,1-4,Winner
Men,185-189,RUS,R,40+,>6,1-3,1-4,Winner
Men,190-194,GRE,R,20-24,>6,1-3,9-12,Winner
Men,190-194,BLR,R,25-29,1-3,1-3,1-4,Winner
Men,180-184,AUS,R,20-24,1-3,1-3,5-8,Winner
Men,175-179,USA,R,25-29,4-6,1-3,5-8,Winner
Men,195+,POL,R,40+,>6,1-3,1-4,Winner
Men,185-189,ITA,R,20-,1-3,1-3,9-12,Winner
Men,185-189,NED,R,25-29,4-6,1-3,5-8,Winner
Men,185-189,CZE,R,20-24,1-3,1-3,9-12,Winner
Men,185-189,GBR,L,25-29,1-3,1-3,1-4,Winner
Men,195+,RUS,R,25-29,4-6,4-6,1-4,Winner
Men,190-194,GBR,R,40+,>6,1-3,1-4,Winner
Men,190-194,CAN,R,20-24,>6,4-6,5-8,Winner
Men,185-189,NED,R,25-29,>6,>6,5-8,Winner
Men,185-189,HUN,R,40+,4-6,4-6,5-8,Winner
Men,180-184,KOR,R,40+,1-3,1-3,5-8,Winner
Men,185-189,RUS,R,40+,>6,<=0,1-4,Winner
Men,195+,USA,R,40+,>6,1-3,1-4,Winner
Men,185-189,USA,R,20-24,1-3,1-3,5-8,Winner
Men,195+,USA,R,40+,>6,<=0,<=0,Winner
Men,180-184,USA,R,25-29,>6,1-3,>12,Winner
Men,185-189,USA,R,20-24,1-3,<=0,1-4,Winner
Men,195+,USA,R,35-39,>6,<=0,1-4,Winner
Men,195+,USA,R,40+,>6,<=0,<=0,Winner
Men,190-194,USA,R,40+,>6,<=0,<=0,Winner
Men,180-184,USA,R,25-29,>6,1-3,1-4,Winner
Men,185-189,USA,R,20-24,4-6,<=0,1-4,Winner
Men,180-184,AUS,R,25-29,>6,1-3,5-8,Winner
Men,190-194,CAN,R,30-34,>6,1-3,5-8,Winner
Men,195+,USA,R,35-39,>6,1-3,<=0,Winner
